State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Haryana,SONIPAT,Dry chillies,2003-04,Whole Year,19.0,Hectare,100.0,Tonnes,5.2631578947368425
Haryana,YAMUNANAGAR,Dry chillies,2001-02,Whole Year,57.0,Hectare,100.0,Tonnes,1.7543859649122806
Haryana,YAMUNANAGAR,Dry chillies,2003-04,Whole Year,28.0,Hectare,0.0,Tonnes,0.0
Haryana,BHIWANI,Garlic,2001-02,Whole Year,9.0,Hectare,100.0,Tonnes,11.11111111111111
Haryana,HISAR,Garlic,2001-02,Whole Year,25.0,Hectare,200.0,Tonnes,8.0
Haryana,KAITHAL,Garlic,2001-02,Whole Year,1.0,Hectare,0.0,Tonnes,0.0
Haryana,KARNAL,Garlic,2001-02,Whole Year,298.0,Hectare,2400.0,Tonnes,8.053691275167786
Haryana,KURUKSHETRA,Garlic,2001-02,Whole Year,2.0,Hectare,0.0,Tonnes,0.0
Haryana,PANIPAT,Garlic,2001-02,Whole Year,5.0,Hectare,0.0,Tonnes,0.0
Haryana,SIRSA,Garlic,2001-02,Whole Year,9.0,Hectare,100.0,Tonnes,11.11111111111111
Haryana,AMBALA,Gram,2001-02,Rabi,113.0,Hectare,0.0,Tonnes,0.0
Haryana,AMBALA,Gram,2002-03,Rabi,130.0,Hectare,0.0,Tonnes,0.0
Haryana,AMBALA,Gram,2003-04,Rabi,54.0,Hectare,0.0,Tonnes,0.0
Haryana,BHIWANI,Gram,2001-02,Rabi,81802.0,Hectare,69000.0,Tonnes,0.8435001589203198
Haryana,BHIWANI,Gram,2002-03,Rabi,25945.0,Hectare,16000.0,Tonnes,0.6166891501252649
Haryana,BHIWANI,Gram,2003-04,Rabi,57445.0,Hectare,44000.0,Tonnes,0.7659500391678997
Haryana,FARIDABAD,Gram,2001-02,Rabi,10.0,Hectare,0.0,Tonnes,0.0
Haryana,FARIDABAD,Gram,2002-03,Rabi,5.0,Hectare,0.0,Tonnes,0.0
